Theta [deg],dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='0deg',dB(GainTheta) [] - Freq='0.6GHz' L3='5mm' Ls='1.63mm' Phi='90.0000000000002deg'
90.3,-22.79,-47.33
90.4,-22.79,-47.33
90.5,-23.14,-47.33
90.6,-23.14,-47.33
90.7,-23.14,-47.33
90.8,-23.14,-47.35
90.9,-23.14,-47.35
91,-23.14,-47.35
91.1,-23.14,-47.35
91.2,-23.14,-47.35
91.3,-23.14,-47.35
91.4,-23.14,-47.35
91.5,-23.14,-47.35
91.6,-23.14,-47.35
91.7,-23.14,-47.21
91.8,-23.14,-47.21
91.9,-23.14,-47.21
92,-23.48,-47.21
92.1,-23.48,-47.21
92.2,-23.48,-47.21
92.3,-23.48,-47.21
92.4,-23.48,-47.21
92.5,-23.48,-47.9
92.6,-23.48,-47.9
92.7,-23.48,-47.9
92.8,-23.48,-47.9
92.9,-23.48,-48.07
93,-23.48,-48.07
93.1,-23.48,-48.07
93.2,-23.81,-48.07
93.3,-23.81,-48.07
93.4,-23.81,-48.07
93.5,-23.81,-48.07
93.6,-23.81,-48.07
93.7,-23.81,-48.07
93.8,-23.81,-48.07
93.9,-23.81,-48.07
94,-23.81,-48.07
94.1,-23.81,-48.07
94.2,-23.81,-48.07
94.3,-23.81,-48.07
94.4,-23.81,-48.07
94.5,-23.81,-47.24
94.6,-23.81,-47.24
94.7,-23.81,-47.24
94.8,-23.81,-47.24
94.9,-23.81,-47.24
95,-23.81,-47.24
95.1,-23.81,-47.24
95.2,-23.81,-47.24
95.3,-23.81,-47.24
95.4,-24.6,-47.24
95.5,-24.6,-48.35
95.6,-24.6,-48.35
95.7,-24.6,-48.35
95.8,-24.6,-48.35
95.9,-24.6,-48.35
96,-24.6,-48.35
96.1,-24.6,-48.35
96.2,-24.6,-48.35
96.3,-25.12,-48.35
96.4,-25.12,-48.35
96.5,-25.12,-48.15
