"Freq [GHz]","dB(S(1,1)) [] - L1='9mm' RatioElips='1.5' Zref='30mm'"
1.224,-8.78418462739522
1.225,-8.68574629486149
1.226,-8.58973278334594
1.227,-8.49610652756211
1.228,-8.40482643617917
1.229,-8.31584798881465
1.23,-8.22912336547998
1.231,-8.14460160695025
1.232,-8.06222880403445
1.233,-7.98194831327464
1.234,-7.9037009962109
1.235,-7.82742547902155
1.236,-7.75305842909263
1.237,-7.68053484489184
1.238,-7.60978835541932
1.239,-7.54075152548466
1.24,-7.47335616310751
1.241,-7.40753362546061
1.242,-7.34321511995388
1.243,-7.28033199729658
1.244,-7.21881603365689
1.245,-7.15859969935558
1.246,-7.09961641187664
1.247,-7.04180077133724
1.248,-6.98508877692762
1.249,-6.92941802319673
1.25,-6.87472787541587
1.251,-6.82095962359146
1.252,-6.76805661501531
1.253,-6.71596436553184
1.254,-6.66463064996128
1.255,-6.6140055723477
1.256,-6.56404161689471
1.257,-6.51469368061472
1.258,-6.46591908884597
1.259,-6.41767759488968
1.26,-6.36993136508811
1.261,-6.32264495070459
1.262,-6.27578524798384
1.263,-6.22932144776424
1.264,-6.18322497599084
1.265,-6.13746942643561
1.266,-6.09203048687906
1.267,-6.04688585994181
1.268,-6.00201517968313
1.269,-5.95739992500414
1.27,-5.91302333081196
1.271,-5.86887029781621
1.272,-5.82492730174588
1.273,-5.78118230268998
1.274,-5.73762465518475
1.275,-5.69424501959149
1.276,-5.65103527523501
1.277,-5.60798843570141
1.278,-5.56509856662949
1.279,-5.52236070626799
1.28,-5.47977078901643
1.281,-5.43732557211529
1.282,-5.39502256560662
1.283,-5.35285996564451
1.284,-5.31083659119894
1.285,-5.26895182416463
1.286,-5.22720555285848
1.287,-5.18559811886593
1.288,-5.14413026717604
1.289,-5.10280309952782
1.29,-5.06161803087732
1.291,-5.02057674888254
1.292,-4.97968117629583
1.293,-4.93893343614555
1.294,-4.89833581958507
1.295,-4.85789075628335
1.296,-4.81760078723074
1.297,-4.77746853983242
1.298,-4.73749670516336
1.299,-4.69768801725995
1.3,-4.65804523432661
1.301,-4.61857112173763
1.302,-4.57926843671946
1.303,-4.54013991460132
1.304,-4.50118825652748
1.305,-4.46241611852815
1.306,-4.42382610185105
1.307,-4.38542074446015
1.308,-4.34720251361325
1.309,-4.30917379943426
1.31,-4.27133690940115
1.311,-4.2336940636747
1.312,-4.19624739119838
1.313,-4.15899892650296
1.314,-4.12195060715477
1.315,-4.08510427178967
1.316,-4.04846165867935
1.317,-4.0120244047797
1.318,-3.97579404521492
1.319,-3.93977201315418
1.32,-3.90395964004092
1.321,-3.86835815613775
1.322,-3.83296869135291
1.323,-3.79779227631651
1.324,-3.76282984367802
1.325,-3.72808222959783
1.326,-3.69355017540877
1.327,-3.6592343294249
1.328,-3.6251352488772
1.329,-3.59125340195731
1.33,-3.55758916995222
1.331,-3.52414284945421
1.332,-3.49091465463219
1.333,-3.45790471955113
1.334,-3.42511310052843
1.335,-3.39253977851626
1.336,-3.3601846615008
1.337,-3.32804758690953
1.338,-3.29612832401923
1.339,-3.26442657635761
1.34,-3.23294198409265
1.341,-3.20167412640425
1.342,-3.17062252383326
1.343,-3.13978664060392
1.344,-3.10916588691587
1.345,-3.07875962120259
1.346,-3.04856715235356
1.347,-3.01858774189758
1.348,-2.98882060614561
1.349,-2.95926491829104
1.35,-2.92991981046635
1.351,-2.90078437575483
1.352,-2.87185767015667
1.353,-2.84313871450861
1.354,-2.81462649635687
1.355,-2.7863199717829
1.356,-2.75821806718209
1.357,-2.73031968099517
1.358,-2.70262368539282
1.359,-2.67512892791331
1.36,-2.64783423305401
1.361,-2.62073840381692
1.362,-2.59384022320882
1.363,-2.56713845569675
1.364,-2.54063184861929
1.365,-2.51431913355451
1.366,-2.48819902764538
1.367,-2.46227023488315
1.368,-2.43653144734987
1.369,-2.41098134642065
1.37,-2.38561860392664
1.371,-2.36044188327953
1.372,-2.33544984055854
1.373,-2.31064112556078
1.374,-2.28601438281575
1.375,-2.26156825256509
1.376,-2.23730137170836
1.377,-2.21321237471573
1.378,-2.18929989450855
1.379,-2.16556256330858
1.38,-2.1419990134569
1.381,-2.11860787820322
1.382,-2.09538779246655
1.383,-2.07233739356794
1.384,-2.04945532193633
1.385,-2.02674022178813
1.386,-2.00419074178138
1.387,-1.98180553564533
1.388,-1.95958326278616
1.389,-1.93752258886959
1.39,-1.91562218638112
1.391,-1.89388073516474
1.392,-1.87229692294045
1.393,-1.85086944580179
1.394,-1.82959700869365
1.395,-1.80847832587118
1.396,-1.78751212134037
1.397,-1.76669712928098
1.398,-1.74603209445243
1.399,-1.72551577258315
1.4,-1.70514693074401
